lon,lat,reg_date,last_date_cutted,square
76.63705,61.090183,2019-03-19,2018-12-29,0.0025
76.51634,61.03121,2019-03-19,2018-03-26,0.1418
76.56863,61.22272,2019-03-19,,0.0692
76.57001,61.22412,2019-03-19,,0.8846
76.57066,61.22457,2019-03-19,,0.3005
76.76028,61.26785,2019-03-19,,0.2776
76.60889,61.09929,2019-03-19,,0.0049
76.70134,61.2455,2019-03-19,,0.0456
76.71265,61.2414,2019-03-19,,2.6979
76.64758,61.2351,2019-03-19,,0.0145
76.64652,61.2341,2019-03-19,,0.1306
76.69739,61.2473,2019-03-19,,0.3806
76.635056,61.073055,2019-03-19,,0.097
76.5288,61.24416,2019-03-19,,0.2046
76.56714,61.2862,2019-03-19,,0.1359
76.56904,61.28711,2019-03-19,,0.1765
76.69366,61.29034,2019-03-19,,1.2708
76.73729,61.19476,2019-03-19,,0.2362
76.714775,61.2396,2019-03-19,,0.0972
76.733665,61.2608,2019-03-19,,0.093
76.73309,61.26085,2019-03-19,,0.0199
76.56098,61.2687,2019-03-19,,0.127
76.646965,61.2333,2019-03-19,,0.0033
76.55228,61.23985,2019-03-19,,0.0072
76.552444,61.24022,2019-03-19,,0.0146
76.55225,61.23952,2019-03-19,,0.0085
76.552216,61.24002,2019-03-19,,0.1042
76.641495,61.23391,2019-03-19,,0.719
76.64157,61.23428,2019-03-19,,0.6203
76.65308,61.23233,2019-03-19,,0.1213
76.73922,61.1993,2019-03-19,,0.0229
76.64594,61.23395,2019-03-19,,0.0108
76.76271,61.23676,2019-03-19,,0.142
76.76851,61.23877,2019-03-19,,1.4157
76.582085,61.26886,2019-03-19,,0.1007
76.44088,61.05784,2019-03-19,,0.0557
76.48295,61.02569,2019-03-19,,0.1064
76.74463,61.1834,2019-03-19,,0.2735
76.71113,61.24277,2019-03-19,,0.743
76.71155,61.23499,2019-03-19,,0.2601
76.72009,61.24509,2019-03-19,,0.1123
76.68827,61.2459,2019-03-19,,0.1114
76.696556,61.20354,2019-03-19,,0.0093
76.69701,61.20377,2019-03-19,,0.0116
76.567505,61.22392,2019-03-19,,0.0115
76.56477,61.22354,2019-03-19,,0.0501
76.707794,61.24459,2019-03-19,,0.2071
76.74332,61.19123,2019-03-19,,0.0867
76.56674,61.22087,2019-03-19,,0.1237
76.755844,61.17801,2019-03-19,,0.0098
76.76266,61.18,2019-03-19,,0.0818
76.76309,61.1799,2019-03-19,,0.0474
76.76244,61.1802,2019-03-19,,0.1064
76.774536,61.2423,2019-03-19,,0.3329
76.56738,61.22213,2019-03-19,,0.0246
76.71696,61.2357,2019-03-19,,0.2779
76.56901,61.22547,2019-03-19,,0.3158
76.572685,61.2079,2019-03-19,,0.011
76.70492,61.23815,2019-03-19,,0.1503
76.61442,61.22855,2019-03-19,,0.0285
76.71325,61.24438,2019-03-19,,0.0031
76.567764,61.22387,2019-03-19,,0.6243
76.56735,61.22129,2019-03-19,,0.0319
76.715546,61.26406,2019-03-19,,0.0134
76.72767,61.2603,2019-03-19,,0.0845
76.65104,61.22038,2019-03-19,,0.0338
76.684166,61.301,2019-03-19,,0.0032
76.71836,61.24505,2019-03-19,,0.033
76.718094,61.24491,2019-03-19,,0.0787
76.70846,61.24474,2019-03-19,,0.9724
76.69424,61.2584,2019-03-19,,0.0111
76.70989,61.24389,2019-03-19,,1.5589
76.76547,61.23873,2019-03-19,,0.5996
76.742966,61.23964,2019-03-19,,0.1695
76.73717,61.26381,2019-03-19,,1.9108
76.748505,61.24348,2019-03-19,,0.0762
76.749886,61.263,2019-03-19,,0.0101
76.77404,61.23928,2019-03-19,,0.1655
76.71006,61.24593,2019-03-19,,0.8913
76.71872,61.24427,2019-03-19,,0.0303
76.71565,61.2638,2019-03-19,,0.0022
76.74798,61.24408,2019-03-19,,0.0752
76.70953,61.2361,2019-03-19,,0.0662
76.67559,61.22623,2019-03-19,,0.1285
76.7486,61.24498,2019-03-19,,0.0305
76.71509,61.24036,2019-03-19,,0.1807
76.71299,61.24287,2019-03-19,,0.1318
76.745575,61.2645,2019-03-19,,0.8982
76.72834,61.2597,2019-03-19,,0.332
76.77861,61.2409,2019-03-19,,0.0174
76.77827,61.2406,2019-03-19,,0.0259
76.7041,61.24191,2019-03-19,,0.0074
76.716194,61.24454,2019-03-19,,0.2582
76.64341,61.28786,2019-03-19,,0.0032
76.68683,61.3061,2019-03-19,,0.0673
76.64821,61.23285,2019-03-19,,0.0091
76.73434,61.2045,2019-03-19,,0.0249
76.616425,61.23519,2019-03-19,,0.0302
76.62449,61.2336,2019-03-19,,0.0014
76.62484,61.2336,2019-03-19,,0.0048
76.69683,61.20414,2019-03-19,,0.0078
76.69723,61.20485,2019-03-19,,0.0061
76.64175,61.23085,2019-03-19,,0.016
76.64175,61.23085,2019-03-19,,0.0488
76.69224,61.21124,2019-03-19,,0.0109
76.61429,61.23433,2019-03-19,,0.04
76.5691,61.22503,2019-03-19,,1.9213
76.7437,61.18362,2019-03-19,,0.5191
76.75645,61.26664,2019-03-19,,0.2139
76.730515,61.26254,2019-03-19,,5.9508
76.71102,61.23986,2019-03-19,,0.0226
76.74773,61.263,2019-03-19,,4.4204
76.6696,61.23806,2019-03-19,,0.0743
76.752975,61.26443,2019-03-19,,1.3236
76.72029,61.24691,2019-03-19,,0.0051
76.73916,61.18619,2019-03-19,,0.0287
76.739845,61.19118,2019-03-19,,0.0068
76.74199,61.23116,2019-03-19,,0.0339
76.733505,61.1925,2019-03-19,,0.0238
76.65198,61.23252,2019-03-19,,0.0601
76.711845,61.21591,2019-03-19,,0.0271
76.7512,61.18953,2019-03-19,,0.0232
76.73238,61.19602,2019-03-19,,0.0644
76.75413,61.2652,2019-03-19,,0.0125
76.7575,61.26759,2019-03-19,,0.1429
76.63392,61.22328,2019-03-19,,0.0198
76.67399,61.071,2019-03-19,,0.0426
76.67528,61.071,2019-03-19,,0.0221
76.72276,61.0334,2019-03-19,,0.073
76.64874,61.06787,2019-03-19,,1.4512
76.62811,61.0856,2019-03-19,,0.0414
76.68179,61.0944,2019-03-19,,0.0527
76.72226,61.0595,2019-03-19,,0.1373
76.73052,61.06564,2019-03-19,,0.0314
76.678024,61.0943,2019-03-19,,0.024
76.73178,61.06606,2019-03-19,,0.0415
76.73932,61.0408,2019-03-19,,0.0122
76.6963,61.0434,2019-03-19,,0.0297
76.76072,61.0046,2019-03-19,,0.0419
76.68409,61.0701,2019-03-19,,0.3797
76.47468,61.03925,2019-03-19,,0.1664
76.5074,61.02874,2019-03-19,,0.0269
76.74535,60.9899,2019-03-19,,0.0251
76.717,61.049,2019-03-19,,0.0297
76.65108,61.0881,2019-03-19,,0.0302
76.69178,61.04355,2019-03-19,,0.1426
76.72963,61.06525,2019-03-19,,0.1728
76.712,61.0486,2019-03-19,,0.0133
76.72263,61.03787,2019-03-19,,0.0841
76.61519,61.1072,2019-03-19,,0.6668
76.713486,61.0869,2019-03-19,,0.2873
76.73609,61.0521,2019-03-19,,0.0178
76.72175,61.0617,2019-03-19,,0.0084
76.64721,61.1692,2019-03-19,,0.6304
76.844025,61.15624,2019-03-19,,0.6593
76.890434,61.17595,2019-03-19,,0.0158
76.88033,61.203,2019-03-19,,0.0906
76.866745,61.2255,2019-03-19,,0.1222
76.86493,61.2248,2019-03-19,,0.1534
76.87297,61.2268,2019-03-19,,0.0571
76.88838,61.17622,2019-03-19,,0.0123
76.88505,61.1947,2019-03-19,,0.0424
76.88422,61.2035,2019-03-19,,0.0179
76.89694,61.1773,2019-03-19,,0.1175
76.894485,61.1743,2019-03-19,,0.0413
76.89033,61.1922,2019-03-19,,2.2002
76.865425,61.2252,2019-03-19,,0.0192
76.866325,61.2251,2019-03-19,,0.0414
76.88427,61.2032,2019-03-19,,0.0421
76.87167,61.2264,2019-03-19,,0.2598
76.89668,61.1767,2019-03-19,,0.1372
76.889915,61.17602,2019-03-19,,0.0075
76.885315,61.1944,2019-03-19,,0.063
76.87053,61.2263,2019-03-19,,0.0899
76.522896,61.3153,2019-03-19,,0.2697
76.52487,61.31572,2019-03-19,,0.0535
76.47636,61.298,2019-03-19,,0.1001
76.58796,61.3256,2019-03-19,,0.0422
76.48909,61.16081,2019-03-19,,0.0144
76.460075,61.33364,2019-03-19,,8.2117
76.87884,61.117233,2019-03-19,,0.1175
76.92726,61.251293,2019-03-19,,0.0532
76.88741,61.176487,2019-03-19,,0.0454
76.90398,61.171272,2019-03-19,,0.0724
76.90317,61.241398,2019-03-19,,0.0083
76.931465,61.200684,2019-03-19,,0.5412
76.92821,61.202606,2019-03-19,,0.0149
76.91898,61.248035,2019-03-19,,0.0156
76.92479,61.20196,2019-03-19,,0.0783
76.926056,61.20216,2019-03-19,,0.0702
76.92607,61.204334,2019-03-19,,0.0034
76.91736,61.248917,2019-03-19,,0.0335
76.903786,61.172054,2019-03-19,,0.1913
76.89518,61.174915,2019-03-19,,1.1397
76.38272,61.342247,2019-03-19,,0.0198
76.40946,61.127342,2019-03-19,,1.1696
76.314415,61.27945,2019-03-19,,0.1871
76.503654,61.353355,2019-03-19,,0.1255
76.83899,61.14283,2019-03-19,,0.0239
76.79543,61.14132,2019-03-19,,0.0007
76.7347,61.156887,2019-03-19,,0.1504
76.845055,61.15833,2019-03-19,,0.0093
76.88947,61.112503,2019-03-19,,0.0347
76.710495,61.16246,2019-03-19,,0.0179
76.730156,61.171127,2019-03-19,,0.0161
76.72986,61.17087,2019-03-19,,0.0712
76.78001,61.15512,2019-03-19,,0.0116
76.84048,61.14222,2019-03-19,,0.0044
76.841095,61.14214,2019-03-19,,0.0094
76.83987,61.144524,2019-03-19,,0.0416
76.84028,61.14237,2019-03-19,,0.047
76.83771,61.171192,2019-03-19,,0.0417
76.734665,61.156162,2019-03-19,,0.0458
76.84671,61.158623,2019-03-19,,0.0881
76.72939,61.171032,2019-03-19,,0.0297
76.86382,61.08366,2019-03-19,,0.6872
76.866974,61.084766,2019-03-19,,0.2104
76.86018,61.09804,2019-03-19,,0.803
76.82176,61.041344,2019-03-19,,0.0736
76.82165,61.041103,2019-03-19,,0.2199
76.84961,61.15394,2019-03-19,,0.0257
76.877426,61.160645,2019-03-19,,0.0306
76.84344,61.15453,2019-03-19,,0.1447
76.92564,61.250553,2019-03-19,,0.0526
76.96577,61.257305,2019-03-19,,0.5263
76.971886,61.19693,2019-03-19,,0.0969
76.95433,61.176373,2019-03-19,,0.0428
76.87381,61.058937,2019-03-19,,0.0541
76.843315,61.04127,2019-03-19,,0.0587
76.88784,61.03128,2019-03-19,,0.6828
76.84138,61.012245,2019-03-19,,0.0483
76.88381,61.062153,2019-03-19,,0.1435
76.587585,61.131374,2019-03-19,,0.0143
76.85297,61.17393,2019-03-19,,0.0858
76.88032,61.18382,2019-03-19,,0.0479
76.8867,61.175793,2019-03-19,,0.1872
76.38075,61.254105,2019-03-19,,0.1125
76.65847,61.131084,2019-03-19,,0.1452
76.50439,61.176003,2019-03-19,,0.014
76.46883,61.15411,2019-03-19,,0.0146
76.42566,61.243202,2019-03-19,,0.0305
76.477264,61.1464,2019-03-19,,0.3821
76.890366,61.04976,2019-03-19,,0.0416
76.38384,61.17821,2019-03-19,,0.0817
76.53074,61.270844,2019-03-19,,0.053765565
76.52736,61.311752,2019-03-19,,0.0107
76.4966,61.342503,2019-03-19,,0.9426
76.501205,61.354713,2019-03-19,,0.2641
76.52848,61.271774,2019-03-19,,0.1853
76.46045,61.301014,2019-03-19,,0.7695
76.46335,61.302357,2019-03-19,,1.1427
76.46567,61.30179,2019-03-19,,0.203
76.46338,61.306427,2019-03-19,,3.1208
76.52598,61.27346,2019-03-19,,0.8755
76.533,61.268505,2019-03-19,,0.0772
76.53383,61.2682,2019-03-19,,0.2161
76.42705,61.238018,2019-03-19,,0.1018
76.53173,61.268642,2019-03-19,,0.2619
76.44942,61.29721,2019-03-19,,0.2013
76.44887,61.297073,2019-03-19,,0.0194
76.38113,61.25317,2019-03-19,,0.0102
76.53416,61.266632,2019-03-19,,0.0402
76.47165,61.33499,2019-03-19,,2.1975
76.531746,61.270462,2019-03-19,,2.5963
76.493164,61.268394,2019-03-19,,0.3903
76.45571,61.2525,2019-03-19,,0.0282
76.44468,61.25124,2019-03-19,,0.2121
76.49303,61.2503,2019-03-19,,0.0031
76.441826,61.2523,2019-03-19,,0.0462
76.471,61.263515,2019-03-19,,0.3287
76.492966,61.251026,2019-03-19,,0.0091
